id,name,region,winner2019,age_under_25,age_25_34,age_35_49,age_50_64,age_over_65,immigrant,white,religion_christian,religion_islam,religion_hindu,religion_other,base_con,base_lab,base_ld,base_ref,base_grn,base_snp,base_pc,base_min
E14001242,Fylde,NW,Con,8.8%,11.8%,19.3%,27.4%,32.8%,5.7%,96.3%,61.5%,0.7%,0.3%,1.1%,0.742,0.957,-0.850,0.073,-1.397,,,-0.626
E14001243,Gainsborough,EM,Con,9.7%,12.5%,20.1%,27.4%,30.3%,4.9%,97.0%,54.7%,0.4%,0.3%,0.8%,0.871,0.794,-0.491,0.381,-1.509,,,-2.407
E14001244,Gateshead Central and Whickham,NE,Lab,12.4%,17.5%,23.2%,24.2%,22.7%,10.2%,91.1%,48.6%,2.9%,0.4%,3.8%,0.085,1.318,-0.582,0.094,-0.978,,,-2.066
E14001245,Gedling,EM,Con,10.3%,15.5%,23.4%,25.4%,25.4%,8.1%,88.6%,41.4%,2.3%,0.6%,1.8%,0.493,1.291,-1.633,0.076,-1.100,,,-2.236
E14001246,Gillingham and Rainham,SE,Con,13.4%,16.5%,24.0%,24.0%,22.2%,13.7%,84.2%,45.6%,3.0%,1.3%,2.2%,0.669,1.163,-1.198,0.204,-1.396,,,-2.732
E14001247,Glastonbury and Somerton,SW,Con,10.7%,12.1%,18.9%,26.8%,31.5%,7.0%,97.2%,51.4%,0.3%,0.2%,1.6%,0.623,-0.187,1.035,0.078,-0.925,,,
E14001248,Gloucester,SW,Con,13.9%,18.0%,24.4%,23.8%,19.9%,15.2%,84.2%,46.9%,5.1%,0.9%,1.1%,0.621,1.125,-0.656,0.111,-1.126,,,-2.415
E14001249,Godalming and Ash,SE,Con,10.3%,12.4%,24.6%,25.8%,26.8%,12.2%,93.8%,52.7%,0.9%,0.5%,1.2%,0.720,0.125,1.032,-0.378,-1.478,,,-2.480
E14001250,Goole and Pocklington,Y,Con,10.0%,13.4%,22.1%,26.8%,27.7%,7.0%,97.0%,55.1%,0.6%,0.3%,0.7%,0.855,0.904,-0.722,0.183,-1.040,,,-2.071
E14001251,Gorton and Denton,NW,Lab,14.7%,18.8%,27.6%,22.4%,16.5%,28.9%,56.5%,39.0%,28.4%,0.5%,1.1%,-0.345,1.496,-1.314,-0.229,-0.794,,,-1.193
E14001252,Gosport,SE,Con,11.2%,14.1%,21.2%,25.6%,27.8%,7.1%,95.5%,45.9%,0.5%,0.3%,0.9%,0.896,0.722,-0.306,0.310,-1.186,,,-2.604
E14001253,Grantham and Bourne,EM,Con,10.2%,13.5%,21.7%,26.5%,28.1%,9.7%,95.6%,55.1%,0.6%,0.7%,0.9%,0.879,0.852,-0.947,0.317,-1.036,,,-2.133
E14001254,Gravesham,SE,Con,12.3%,16.7%,25.2%,24.1%,21.8%,19.3%,76.6%,49.2%,3.1%,1.4%,9.0%,0.836,1.056,-1.264,0.213,-1.264,,,
E14001255,Great Grimsby and Cleethorpes,Y,Con,12.1%,17.0%,21.9%,25.6%,23.4%,7.4%,96.1%,42.1%,1.3%,0.2%,0.9%,0.576,1.092,-1.334,0.448,-1.297,,,-2.088
E14001256,Great Yarmouth,E,Con,11.0%,14.1%,20.4%,25.6%,29.0%,9.8%,94.6%,46.7%,0.7%,0.4%,0.9%,0.643,0.889,-1.723,0.649,-0.856,,,-2.082
E14001257,Greenwich and Woolwich,L,Lab,13.4%,28.6%,30.5%,17.5%,10.0%,41.2%,55.4%,40.2%,9.1%,3.9%,3.9%,-0.095,1.414,-0.551,-0.632,-0.464,,,-1.451
E14001258,Guildford,SE,Con,21.2%,14.5%,22.9%,21.7%,19.7%,22.1%,84.5%,46.9%,2.5%,1.6%,1.8%,0.540,-0.049,1.173,-0.290,-1.377,,,-2.437
E14001259,Hackney North and Stoke Newington,L,Lab,14.8%,26.9%,28.2%,19.2%,10.8%,36.0%,55.1%,26.8%,13.5%,0.7%,15.9%,-0.470,1.479,-1.024,-0.746,-0.155,,,-1.247
E14001260,Hackney South and Shoreditch,L,Lab,14.0%,32.6%,26.7%,17.7%,8.9%,42.7%,50.4%,34.4%,13.3%,0.8%,4.8%,-0.675,1.496,-0.994,-0.874,-0.105,,,-1.095
E14001261,Halesowen,WM,Con,11.8%,16.5%,23.1%,23.9%,24.7%,8.1%,82.4%,46.7%,7.8%,0.5%,2.5%,0.777,1.171,-1.718,0.147,-1.385,,,
E14001262,Halifax,Y,Lab,12.6%,16.8%,24.4%,24.5%,21.7%,12.3%,77.8%,38.5%,16.6%,0.9%,0.9%,0.349,1.252,-1.245,0.127,-0.827,,,-1.551
E14001263,Hamble Valley,SE,Con,10.6%,14.9%,24.1%,26.2%,24.1%,7.5%,94.9%,48.0%,0.6%,0.5%,1.0%,0.866,0.568,0.410,-0.044,-1.134,,,-2.903
E14001264,Hammersmith and Chiswick,L,Lab,13.2%,24.4%,27.3%,20.9%,14.2%,45.2%,63.4%,43.3%,11.6%,1.5%,3.0%,0.201,1.362,-0.458,-0.553,-0.768,,,-1.656
E14001265,Hampstead and Highgate,L,Lab,11.8%,24.1%,28.1%,20.3%,15.7%,44.8%,65.5%,32.3%,11.5%,2.4%,9.9%,0.080,1.242,0.149,-0.859,-0.404,,,-1.665
E14001266,"Harborough, Oadby and Wigston",EM,Con,12.2%,13.8%,22.9%,24.5%,26.6%,14.3%,75.3%,40.8%,6.8%,6.7%,5.8%,0.810,0.974,-0.214,-0.187,-1.028,,,-2.299
E14001267,Harlow,E,Con,11.9%,18.2%,25.9%,24.0%,20.1%,16.7%,84.4%,46.2%,3.5%,0.9%,1.5%,0.776,0.997,-1.232,0.288,-1.029,,,-2.105
E14001268,Harpenden and Berkhamsted,E,Con,9.9%,10.7%,27.1%,27.1%,25.3%,11.1%,91.7%,50.9%,1.1%,0.9%,1.9%,0.684,0.168,0.957,-0.229,-1.114,,,-2.290
E14001269,Harrogate and Knaresborough,Y,Con,10.8%,13.2%,23.0%,26.3%,26.7%,10.2%,94.9%,53.4%,0.7%,0.3%,1.0%,0.733,0.149,1.049,-0.421,-1.765,,,-2.711
E14001270,Harrow East,L,Con,13.0%,18.6%,26.1%,21.8%,20.5%,53.5%,36.4%,33.8%,15.1%,28.0%,9.6%,0.880,1.124,-1.248,-0.307,-1.426,,,-1.442
E14001271,Harrow West,L,Lab,13.4%,20.5%,29.4%,21.0%,15.7%,53.8%,34.3%,35.3%,17.8%,24.3%,4.8%,0.323,1.364,-0.947,-0.446,-0.910,,,-1.329
E14001272,Hartlepool,NE,Lab,12.2%,15.2%,21.4%,26.8%,24.4%,4.0%,96.4%,52.5%,1.3%,0.2%,0.7%,0.040,1.258,-1.311,0.584,-1.642,,,-1.740
E14001273,Harwich and North Essex,E,Con,12.9%,12.4%,20.6%,25.2%,28.9%,7.3%,94.0%,47.4%,0.9%,0.4%,1.2%,0.780,0.975,-0.548,0.140,-0.851,,,
E14001274,Hastings and Rye,SE,Con,10.6%,14.3%,21.9%,26.6%,26.7%,10.8%,92.0%,39.6%,1.7%,0.5%,1.6%,0.560,1.189,-1.179,0.043,-0.798,,,-1.850
E14001275,Havant,SE,Con,10.7%,14.0%,20.4%,26.2%,28.8%,6.5%,95.7%,44.8%,0.5%,0.3%,1.0%,0.858,0.743,-0.434,0.302,-0.750,,,-2.974
E14001276,Hayes and Harlington,L,Lab,14.7%,20.4%,30.4%,21.4%,13.2%,48.4%,32.1%,32.5%,20.0%,11.8%,17.5%,0.248,1.405,-1.596,-0.157,-1.023,,,-1.542
E14001277,Hazel Grove,NW,Con,9.9%,14.0%,22.6%,25.2%,28.3%,5.4%,94.4%,51.0%,1.4%,0.3%,0.8%,0.440,0.430,0.992,-0.307,-1.694,,,-1.280
E14001278,Hemel Hempstead,E,Con,11.2%,18.5%,26.8%,23.6%,19.9%,16.8%,83.4%,45.1%,4.4%,2.1%,1.6%,0.737,1.029,-0.394,0.104,-1.156,,,
E14001279,Hendon,L,Con,14.5%,21.8%,29.0%,19.9%,14.6%,49.6%,49.7%,36.7%,16.5%,6.8%,17.0%,0.728,1.190,-1.079,-0.361,-1.001,,,-1.482
E14001280,Henley and Thame,SE,Con,9.9%,12.1%,23.0%,26.7%,28.3%,11.5%,94.1%,52.3%,0.8%,0.4%,1.2%,0.704,-0.067,1.054,-0.396,-0.843,,,-2.793
E14001281,Hereford and South Herefordshire,WM,Con,10.6%,14.2%,21.3%,26.0%,27.9%,10.4%,96.3%,53.7%,0.5%,0.3%,1.0%,0.798,0.735,-0.138,0.146,-0.536,,,-2.674
E14001282,Herne Bay and Sandwich,SE,Con,10.0%,12.1%,19.7%,25.8%,32.5%,6.4%,95.3%,51.0%,0.7%,0.4%,1.2%,0.873,0.815,-0.594,0.332,-0.938,,,
E14001283,Hertford and Stortford,E,Con,10.8%,16.4%,26.6%,24.8%,21.4%,12.7%,90.9%,47.8%,1.5%,0.7%,1.5%,0.718,0.978,-0.382,-0.030,-0.627,,,-2.363
E14001284,Hertsmere,E,Con,11.7%,14.5%,26.2%,24.6%,23.1%,22.2%,78.0%,42.7%,3.6%,4.5%,18.7%,0.974,0.853,-0.569,0.033,-1.203,,,-2.401
E14001285,Hexham,NE,Con,9.1%,10.3%,20.0%,28.4%,32.1%,4.3%,96.7%,55.6%,0.6%,0.4%,1.3%,0.910,1.263,-0.731,,-0.971,,,-2.194
E14001286,Heywood and Middleton North,NW,Lab,12.1%,17.2%,23.9%,24.7%,22.2%,12.6%,82.0%,52.3%,10.4%,0.3%,0.7%,0.387,1.301,-1.248,0.318,,,,-1.693
E14001287,High Peak,EM,Con,10.1%,13.5%,21.7%,28.5%,26.2%,4.2%,97.5%,48.5%,0.3%,0.1%,1.0%,0.500,1.366,-1.690,-0.018,-1.367,,,
E14001288,Hinckley and Bosworth,EM,Con,10.0%,14.9%,22.7%,25.9%,26.5%,6.1%,95.0%,50.4%,0.6%,0.8%,1.2%,0.855,0.623,0.202,0.146,-1.118,,,-2.812
E14001289,Hitchin,E,Con,10.3%,15.5%,27.6%,24.8%,21.8%,10.3%,88.0%,43.6%,1.5%,1.1%,2.6%,0.597,0.990,0.253,-0.232,-1.214,,,-2.328
E14001290,Holborn and St Pancras,L,Lab,23.6%,23.5%,22.1%,18.4%,12.4%,44.8%,54.8%,30.6%,19.7%,1.4%,4.1%,-0.385,1.419,-0.635,-0.860,-0.224,,,-0.798
E14001291,Honiton and Sidmouth,SW,Con,8.7%,10.1%,17.9%,25.9%,37.4%,6.2%,97.4%,51.0%,0.4%,0.1%,1.0%,0.687,0.026,0.811,0.268,-1.245,,,-2.037
E14001292,Hornchurch and Upminster,L,Con,11.8%,15.8%,24.8%,23.8%,23.7%,16.3%,79.9%,53.6%,4.0%,2.3%,2.7%,0.899,0.828,-0.788,0.264,-1.431,,,-1.400
E14001293,Hornsey and Friern Barnet,L,Lab,10.5%,21.2%,30.6%,22.6%,15.1%,36.2%,69.7%,34.1%,7.6%,1.9%,6.8%,-0.371,1.389,0.103,-0.979,-0.614,,,-1.346
E14001294,Horsham,SE,Con,10.6%,14.9%,24.2%,26.1%,24.2%,11.6%,92.4%,47.9%,1.1%,0.7%,1.2%,0.811,0.374,0.711,-0.197,-0.986,,,-2.927
E14001295,Houghton and Sunderland South,NE,Lab,11.1%,15.7%,21.7%,26.4%,25.2%,2.7%,97.5%,54.8%,0.4%,0.1%,0.7%,0.080,1.252,-1.161,0.566,-1.100,,,
E14001296,Hove and Portslade,SE,Lab,11.2%,18.2%,28.2%,24.0%,18.4%,19.8%,85.7%,34.1%,3.4%,0.7%,3.3%,0.062,1.417,-0.990,-0.468,-0.481,,,-1.689
E14001297,Huddersfield,Y,Lab,16.5%,17.1%,23.8%,22.6%,20.0%,20.2%,61.8%,35.8%,21.6%,0.6%,2.8%,0.239,1.359,-1.161,-0.165,-0.409,,,
E14001298,Huntingdon,E,Con,10.3%,15.7%,24.1%,25.4%,24.5%,14.4%,91.2%,47.7%,1.9%,0.5%,1.2%,0.745,0.862,-0.183,0.150,-0.928,,,-2.097
E14001299,Hyndburn,NW,Con,12.7%,16.8%,22.9%,24.8%,22.8%,9.0%,82.4%,50.1%,14.8%,0.1%,0.6%,0.503,1.268,-1.744,0.264,-1.189,,,
E14001300,Ilford North,L,Lab,14.2%,19.3%,28.9%,21.3%,16.3%,44.6%,33.0%,29.2%,30.6%,14.3%,10.0%,0.376,1.327,-1.347,-0.282,-1.057,,,-0.916
E14001301,Ilford South,L,Lab,16.5%,20.7%,30.7%,19.4%,12.6%,50.0%,22.0%,25.9%,41.4%,10.8%,9.2%,-0.036,1.402,-1.356,-0.422,-0.779,,,-0.533
E14001302,Ipswich,E,Con,13.1%,18.7%,25.9%,22.3%,20.0%,19.2%,83.4%,42.2%,4.0%,1.1%,1.4%,0.503,1.240,-1.453,0.121,-0.958,,,-2.008
E14001303,Isle of Wight East,SE,Con,8.8%,10.3%,17.3%,27.3%,36.2%,6.1%,97.2%,48.7%,0.3%,0.2%,1.2%,0.699,0.819,-1.210,0.404,-0.340,,,-1.633
E14001304,Isle of Wight West,SE,Con,9.5%,13.0%,19.1%,26.1%,32.3%,6.1%,96.7%,46.7%,0.5%,0.2%,1.3%,0.627,0.888,-1.287,0.277,-0.039,,,-2.060
E14001305,Islington North,L,Lab,13.2%,30.4%,26.7%,18.6%,11.1%,38.2%,61.9%,33.7%,12.4%,0.9%,3.9%,-0.779,1.119,-0.871,-0.955,-0.687,,,0.748
E14001306,Islington South and Finsbury,L,Lab,16.0%,30.9%,24.4%,17.8%,10.9%,41.6%,62.3%,35.5%,11.4%,1.1%,3.5%,-0.280,1.406,-0.345,-0.703,-0.434,,,-1.183
E14001307,Jarrow and Gateshead East,NE,Lab,11.0%,16.0%,22.4%,26.2%,24.4%,4.4%,95.8%,53.9%,1.4%,0.2%,0.7%,-0.208,1.316,-1.191,0.452,-1.012,,,-1.579
E14001308,Keighley and Ilkley,Y,Con,11.7%,14.4%,23.2%,25.0%,25.7%,10.1%,80.1%,42.1%,15.7%,0.3%,0.9%,0.688,1.234,-1.557,-0.135,-1.224,,,-1.682
E14001309,Kenilworth and Southam,WM,Con,12.0%,12.4%,21.4%,26.1%,28.2%,8.8%,92.9%,53.4%,0.8%,0.9%,1.7%,0.853,0.757,0.041,-0.066,-0.737,,,-2.912
E14001310,Kensington and Bayswater,L,Lab,14.6%,22.5%,25.5%,22.4%,15.1%,55.7%,61.4%,45.2%,12.6%,1.2%,4.0%,0.592,1.155,-0.244,-0.476,-0.834,,,-1.798
E14001311,Kettering,EM,Con,11.3%,16.6%,25.1%,24.3%,22.7%,13.9%,90.2%,47.3%,1.4%,0.9%,1.9%,0.723,1.073,-1.281,0.233,-1.016,,,-2.317
E14001312,Kingston and Surbiton,L,LD,14.5%,18.3%,28.8%,21.4%,16.9%,32.1%,70.5%,42.6%,6.9%,4.8%,2.9%,0.167,0.014,1.296,-0.318,-1.133,,,-2.423
E14001313,Kingston upon Hull East,Y,Lab,12.9%,18.2%,23.1%,24.5%,21.3%,6.6%,96.1%,38.4%,1.2%,0.2%,0.7%,0.037,1.140,-0.399,0.534,-0.814,,,
E14001314,Kingston upon Hull North and Cottingham,Y,Lab,17.0%,18.2%,23.7%,21.8%,19.2%,16.0%,89.5%,41.9%,4.6%,0.3%,1.0%,0.098,1.218,-0.520,0.279,-0.779,,,-2.043
E14001315,Kingston upon Hull West and Haltemprice,Y,Con,11.5%,17.7%,22.7%,24.8%,23.3%,11.8%,92.3%,44.4%,3.2%,0.3%,0.9%,0.311,1.104,-0.389,0.391,-1.061,,,-2.250
E14001316,Kingswinford and South Staffordshire,WM,Con,9.8%,11.8%,19.8%,26.7%,31.9%,3.2%,94.3%,59.5%,0.5%,0.5%,2.0%,1.017,0.796,-1.163,0.269,-1.193,,,-2.550
E14001317,Knowsley,NW,Lab,12.5%,18.1%,22.3%,26.2%,20.8%,5.2%,95.9%,67.0%,0.6%,0.2%,0.5%,-0.974,1.611,-1.851,-0.298,-0.792,,,-1.386
E14001318,Lancaster and Wyre,NW,Con,21.8%,13.4%,19.2%,22.3%,23.2%,10.6%,91.3%,52.2%,2.4%,0.6%,1.2%,0.418,1.261,-1.490,-0.126,-0.180,,,
E14001319,Leeds Central and Headingley,Y,Lab,47.0%,19.8%,14.3%,10.1%,8.7%,23.3%,71.1%,29.0%,9.9%,1.7%,2.8%,-0.350,1.459,-0.861,-0.666,-0.107,,,-1.895
E14001320,Leeds East,Y,Lab,13.5%,17.9%,25.1%,23.1%,20.4%,17.8%,74.0%,45.2%,12.7%,0.7%,1.8%,0.349,1.259,-1.298,0.166,-1.033,,,-1.431
